id,name,position,brief,investStart,investCount,investNextPhase,investQuit,investPhases,investLimit,investPlan,focusIntustry,city
87,俞一锟,熊猫资本 •  投资经理,曾投资：Lookingplas，家十分。熊猫资本，把你当宝,2015,,,,种子轮/天使轮、Pre-A 轮、A 轮,500W - 5000W 人民币,6 个,金融、消费互联网、地产、汽车、O2O,上海
88,胡磊,蓝湖资本 • 合伙人,曾投资：去哪儿、美丽说、世纪互联等。,2007,20,18,,A 轮、B 轮,1000W - 10000W 人民币,10 个,互联网金融、社交、分享经济,北京、上海
89,王昊,成为资本 • 副总裁,曾投资：OneAPM，小鱼在家，极飞无人机，云之讯，蜻蜓FM，Sila nano等。,2012,7,7,,Pre-A 轮、A 轮、B 轮,1000W - 8000W 人民币,5 个,智能硬件、社区、撮合交易平台、SaaS、分享经济,上海
90,周晔,软银中国资本 • 执行董事,曾投资：好屋中国、学习宝、八爪鱼在线旅游、TalkingData、咕咚、易贷网等。,2011,9,4,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮,500W - 150000W 人民币,5 个,B2B、撮合交易平台、O2O、工具应用/平台、技术创新,北京、上海、深圳、杭州
91,高亚捷,真顺投资 • 投资经理,曾投资：虾baby，闪电刷。,2015,2,1,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1000W 人民币,6 个,金融、智能硬件、工具应用/平台、B2B、分享经济,北京、上海、广州、深圳、杭州
92,谷承文,晨兴创投 • 投资经理,曾投资：蜜桃、大黄蜂。,2010,5,2,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 3000W 人民币,5 个,电商、消费升级、分享经济、O2O,北京、上海、广州、深圳
93,孙国昕,软银中国资本 • 高级投资经理,曾投资：苏利化学、泰坦科技、泰昌健康、易家科技。,2012,6,5,2,A 轮、B 轮,200W - 5000W 人民币,3 个,分享经济、产业互联网、撮合交易平台、达人/明星粉丝、生活方式,上海
94,曹曦,红杉资本中国 • 副总裁,曾投资：好贷、斗鱼、爱鲜峰、懂球帝、晶合思动。,2011,20,15,,Pre-A 轮、A 轮、B 轮,600W - 5000W 人民币,5 个,娱乐、社区、社交、O2O,北京、上海、深圳
95,刘旭伟,竞技世界 • 投资副总裁,曾投资：芯联达、九十九网络、美尔贝、甜心摇滚沙拉、楼下100等。,2011,7,3,,Pre-A 轮、A 轮、B 轮,200W - 5000W 人民币,8 个,O2O、医疗健康、女性、消费互联网、互联网金融,北京
96,吴莹,红杉资本中国 • 投资经理,曾投资：触宝、更美、TT快车等。,2010,10,10,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 40000W 人民币,未确定,汽车、O2O、B2B,北京、上海
97,杨玥,光信资本 • 投资经理,曾投资：明星衣橱，一亩田。,2012,10,9,,Pre-A 轮、A 轮、B 轮,500W - 10000W 人民币,6 个,电商、O2O、金融、教育,北京、上海
98,李杨,达晨创投 • 投资总监,冬日中医联合创始人及天使。曾投资：Yoho！有货、南讯客道Crm、好慷家政在线、他趣等。,2011,5,2,1,A 轮、B 轮,1000W - 10000W 人民币,5 个,消费互联网、O2O、电商平台、SaaS,北京、上海、厦门
99,林均全,新进创投 • 高级投资经理,曾投资：107间，闻题鸟，Histarter 。,2013,70,25,,种子轮/天使轮、Pre-A 轮,50W - 1000W 人民币,50 个,O2O、消费互联网、金融、文创、医疗健康,上海
100,左健,海捷投资 • 合伙人,曾投资：上海庆科，乐奇足球 ，博合智慧。,1997,44,35,,种子轮/天使轮、Pre-A 轮,300W - 2000W 人民币,20 个,人工智能、互联网金融、物联网、智能硬件,北京、上海、广州、深圳
101,吴运龙,零一资本 • 创始合伙人,曾投资找钢网、A8。 寻找“10亿美金”idea,2015,35,25,5,Pre-A 轮、A 轮,300W - 2000W 人民币,10 个,撮合交易平台、工具软件、娱乐,北京、深圳、杭州
102,陆宏宇,德同资本 • 合伙人,曾投资：节操精选、影谱科技。,2012,10,8,2,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮、D 轮、D 轮以上,200W - 10000W 人民币,10 个,新媒体、金融、广告、社交、撮合交易平台,北京、上海、广州、深圳、杭州、成都
103,段斌,乐游资本 • 创始合伙人,曾投资：鲜榨喜剧、Seneoro、百彩嘉、中捷代购。,2010,11,7,,种子轮/天使轮,50W - 500W 人民币,10 个,动漫、新内容生态、娱乐、新媒体、手游,北京、上海
104,李潇,愉悦资本/Joy capital • 创始合伙人,曾投资：途虎养车、车轮、铜板街、牛股王、小猪、优客逸家、天神互动、乐逗、乐动卓越、新银河等,2011,18,12,3,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,800W - 20000W 人民币,5 个,海外市场、消费互联网、O2O、分享经济,北京
105,潘汉彬,盈动投资 • 投资总监,曾投资：康众汽配、贝登科技,2013,5,2,,种子轮/天使轮、Pre-A 轮、A 轮,50W - 3000W 人民币,5 个,汽车、大数据、企业级应用/服务、B2B、O2O,杭州、其他
106,胡海清,浅石创投 • 合伙人,曾投资：博纳影业、爱康国宾、理邦仪器、科锐国际、果麦文化、卓正医疗、好牙医。,2007,15,15,3,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1500W 人民币,10 个,O2O,北京、上海、广州、深圳、杭州
107,陈悦天,创新工场 • 投资总监,曾投资：Fork叉子相机、SNH48、翻翻动漫、绘梦文化、半次元、橙光66RPG、墨明棋妙等。,2013,23,6,,Pre-A 轮、A 轮,600W - 3000W 人民币,10 个,新媒体、文创、娱乐、新内容生态、VR,北京、上海
108,梁维弘,熊猫资本 • 创始合伙人,曾投资：天天动听，爱回收，小马购车。,2009,16,10,1,种子轮/天使轮、Pre-A 轮、A 轮,300W - 3000W 人民币,5 个,互联网金融、医疗健康、汽车、O2O、地产,北京、上海、杭州
109,曹毅,源码资本 • 创始合伙人,曾投资：美丽说、大姨吗、PP租车、今日头条等。,2007,40,30,,种子轮/天使轮、A 轮,500W - 5000W 人民币,15 个,互联网金融、汽车、消费升级、撮合交易平台、社交、O2O、内容聚合、商业智能/BI,北京、上海、深圳
110,洪学勤,盈动投资 • 高级投资经理,曾投资:当客，又拍云，野狗。,2014,2,2,,种子轮/天使轮、Pre-A 轮、A 轮,0W - 3000W 人民币,6 个,大数据、云服务、企业级应用/服务、O2O、SaaS,杭州
111,贾珂,创享投资 • 管理合伙人,曾投资：天上友嘉、天时通、钛核互动。关注新内容平台,2009,15,5,,种子轮/天使轮、Pre-A 轮,300W - 1000W 人民币,10 个,社区、O2O,北京、上海、广州、深圳
112,姚慧,K2VC险峰华兴 • 分析师,原百度贴吧产品经理，曾投资：Emo、可见。,2014,2,,,种子轮/天使轮、Pre-A 轮,50W - 800W 人民币,5 个,二次元、消费互联网、社区、视频、B2B,深圳
113,吴文蔚,CyberAgent创投 • 上海总经理,曾投资：TutorGroup、饭团、粉粉日记、Epicforce等。,2010,14,8,,种子轮/天使轮、A 轮,100W - 1000W 人民币,5 个,房产、O2O、文化、娱乐、社交、智能硬件、消费电子,北京、上海、深圳
114,王全,博派资本 • 投资经理,曾投资：被窝声次元,2015,1,,,种子轮/天使轮,100W - 500W 人民币,5 个,娱乐、新内容生态、二次元、手游、动漫,北京
115,王力,执一资本 • 投资经理,前百度战略分析师及产品经理，主要关注金融、房、车等产业互联网领域。,2015,,,,Pre-A 轮、A 轮,300W - 6000W 人民币,5 个,金融、地产、本地生活、汽车、分享经济,北京、上海
116,华巍,今日头条 • 投资总监,曾投资：魔图精灵等。,2015,,,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 1000W 人民币,10 个,海外市场、二次元、内容聚合、社交、娱乐、消费互联网、社区、兴趣图谱、生活方式、内容聚合、流量分发、新内容生态、女性、图片、二次元,北京
117,谢晨星,执一资本 • 投资总监,曾投资：APUS，人人车，清华学堂在线。,2013,3,2,,Pre-A 轮、A 轮、B 轮,600W - 10000W 人民币,3 个,互联网金融、教育培训、汽车、医疗健康,北京
118,高峰,华映资本 • 董事,曾投资：锦和商业、米牛网。,2011,10,10,,A 轮,1000W - 3000W 人民币,5 个,旅游、O2O,北京、上海、杭州
119,李论,熊猫资本 • 创始合伙人,曾投资：淘当铺、Airwheel、春水堂、好贷网、小马购车、友加、丽维家、小米装、钱升钱。,2013,19,13,3,种子轮/天使轮、Pre-A 轮,100W - 1500W 人民币,8 个,消费互联网、汽车、O2O,北京、上海
120,赵俊超,同渡创投 • 创始合伙人,曾投资：六间房、悠悠村、马可波罗网等.,2008,,,,Pre-A 轮、A 轮,500W - 2500W 人民币,8 个,B2B、电商平台、信息服务、SaaS、技术创新,北京、上海
121,吴海燕,华创资本 • 合伙人,曾投资：铜板街、别样红、700Bike等。,2012,6,5,2,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,100W - 10000W 人民币,6 个,母婴、儿童、女性、男性、新媒体,北京、上海、杭州
122,许高,华创资本 • 投资经理,前极梦网创始人。重点关乎互联网金融，教育和房消费。,2014,4,,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,200W - 10000W 人民币,5 个,教育培训、金融、智能家居、地产、众筹,北京、上海
123,杨溢,CA创投 • 深圳总经理,曾投资：房多多、胡莱游戏等。,2015,15,6,2,种子轮/天使轮、Pre-A 轮、A 轮,100W - 1000W 人民币,10 个,O2O、智能硬件、房产,广州、深圳、珠海、东莞
124,易丽君,创享投资 • 合伙人,曾投资：豆腐、理大师、欢瑞世纪 、ITools、筑巢新游、钛核互动 、陌上科技等。,2011,27,10,4,种子轮/天使轮、Pre-A 轮,100W - 600W 人民币,15 个,娱乐、新内容生态、社区、社交、O2O,北京、上海、深圳、成都
125,李锦香,戈壁投资 • 资深投资总监,曾投资：夸客金融，先花花，元气弹，十方旅行，求解答。,2012,11,10,2,Pre-A 轮、A 轮,500W - 6000W 人民币,6 个,母婴、教育培训、金融、新内容生态、旅游,北京、上海
126,洪弈,新进创投 • 管理合伙人,曾投资：格奕游戏，摩奇园林，好买车，易诊。主投：移动互联网与生命科学。,2012,20,14,3,种子轮/天使轮、Pre-A 轮,50W - 800W 人民币,10 个,医疗健康,北京、上海
127,刘凯,晨兴资本 • 投资经理,曾投资：辣妈帮，绿狗网。,2010,5,3,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 3000W 人民币,未确定,企业级市场、Marketplace、新技术、O2O,北京、上海、深圳
128,郑博仁,心元资本 • 创始人,曾投资：天鸽、中文在线、阿狸、Zepp、英语流利说。,2001,60,20,3,种子轮/天使轮、Pre-A 轮,100W - 600W 人民币,30 个,海外市场、消费互联网、人工智能、兴趣图谱、分享经济,北京
129,卓威舜,逐鹿资本 • 投资总监,曾投资：牛班，随行随停，NoQ。,2014,10,7,,种子轮/天使轮,30W - 50W 人民币,25 个,O2O、企业级应用/服务、电商平台、二次元、文创,北京、上海、深圳、杭州
130,曹斌,边锋集团投资部 • 投资经理,曾参与创办：思客网。参与投资：当贝网络科技、熊管佳。,2014,,,,种子轮/天使轮,300W - 500W 人民币,3 个,本地生活、吃喝玩乐、生鲜、消费电子,上海
131,杨颖姣,京东 • 高级投资经理 ,曾参与投资：下厨房、穿衣助手、到家美食会等项目。,2015,,,,A 轮、B 轮、C 轮、D 轮、D 轮以上,5000W - 30000W 人民币,4 个,消费互联网、汽车、生活方式、新型物流、社区,北京
132,李豪达,熊猫资本 • 投资经理,曾创办理理财，后加入熊猫资本。参与投资：理理财。,2015,,,,种子轮/天使轮、Pre-A 轮,200W - 3000W 人民币,4 个,金融、地产、汽车、生活方式、B2B,北京、上海
133,吕峻达,华映资本 • 投资经理,曾投资：金柚网、丰投网、联车科技、靠谱助手、租房宝。,2013,7,5,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,200W - 5000W 人民币,5 个,金融、娱乐、二次元、汽车、企业级应用/服务,北京、上海
134,霍中彦,合鲸资本 • 合伙人,曾投资：品牌中国、华闻传媒、维果部落、状元菜、Phantouch、思念体。,2006,6,4,2,种子轮/天使轮、Pre-A 轮、A 轮,50W - 1000W 人民币,10 个,新媒体、教育培训、金融、文创、新内容生态,上海
135,管登峰,浙商创投 • 上海区域总经理,曾投资：我爱我家，米粒影视，度周末，友加，泰笛等。,2012,8,4,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,300W - 8000W 人民币,10 个,医疗健康、文创、娱乐、企业级应用/服务、O2O,上海、苏州、其他
136,宋旭文,中路资本 • 合伙人,曾投资：生意专家，数赢云，远为软件，容么么 ，Adbug。,2012,9,5,,种子轮/天使轮、A 轮,0W - 2000W 人民币,10 个,消费、生活服务、企业服务、医疗、互联网金融,北京、上海、广州、深圳
137,孟梦,青骢资本 • 董事总经理,曾投资：快快租车、胖仙女、伏牛堂、住百家、Wifi万能钥匙等与“食、住、行” 息息相关的创业项目。,2015,14,,,种子轮/天使轮、Pre-A 轮,100W - 500W 人民币,20 个,消费互联网、餐饮、吃喝玩乐、工具应用/平台、O2O,上海
138,杨洁,红杉资本中国 • 副总裁,曾投资：礼物说、快看漫画、Blink、Makeblock、走着旅行,2010,14,14,2,Pre-A 轮、A 轮、B 轮、C 轮,100W - 8000W 人民币,4 个,医疗健康、新内容生态、农业、人工智能、消费电子,北京、广州、深圳
139,刘佳,金沙江创投 • 副总裁,曾投资：外勤365。,2013,5,,,种子轮/天使轮、Pre-A 轮、A 轮,100W - 6000W 人民币,未确定,B2B、撮合交易平台、O2O、电商平台、SaaS,北京
140,蔡明,科宝.博洛尼 • CEO,曾投资：E洗车、爱空间、果然快等。,2014,15,5,,种子轮/天使轮,0W - 300W 人民币,未确定,生活服务、社交、O2O、社区,北京
141,袁一鸣,戈壁投资 • 投资经理,曾参与投资：十方旅行。主要关注：金融，旅游，新内容。,2014,1,,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 5000W 人民币,未确定,金融、文创、新内容生态、二次元、旅游,上海
142,劳雅各,启赋资本 • 投资经理,曾投资：维示泰克。,2015,1,,,种子轮/天使轮、Pre-A 轮,500W - 2000W 人民币,5 个,金融、社区、O2O,广州
143,沈文杰,中路资本 • 合伙人,曾投资：奇怪便利，HelloMoney，爱尚鲜花，好厨师等。,2011,20,18,3,种子轮/天使轮、Pre-A 轮、A 轮,100W - 2000W 人民币,10 个,金融、二次元、社交、B2B、O2O,上海
144,沈楠,凯旋创投 • 高级投资经理,曾投资：车蚂蚁、Centrillion基因测序、龙源电力、华能新能源、惠生工程、国韵生物、龙门煤层气、金州环境。,2009,8,7,5,A 轮、B 轮、C 轮,500W - 20000W 人民币,5 个,医疗健康、汽车、B2B、O2O、分享经济,北京
145,丘岳峰,九合创投 • 投资经理,曾投资：配购网，牛牛汽车，Maxus Tech。曾参与投资：筷来财。,2015,3,,,种子轮/天使轮、Pre-A 轮,0W - 1000W 人民币,未确定,汽车、企业级应用/服务、B2B、SaaS、技术创新,北京
146,王凝洁,熊猫资本 • 投资经理,关注互联网金融，房，车，O2O，女性，社交等领域。,2014,,,,种子轮/天使轮、Pre-A 轮、A 轮,0W - 2000W 人民币,7 个,金融、消费互联网、汽车、B2B、O2O,上海
147,王帆,时尚集团 • 投资主管,曾投资：站酷、Roseonly、Shoptiques、动点科技。,2012,10,4,1,种子轮/天使轮、Pre-A 轮、A 轮,100W - 500W 人民币,3 个,女性、新内容生态、时尚、吃喝玩乐、美业,北京
148,王国栋,戈壁创投 • 高级投资总监,曾投资：卡拉丁，澳乐网，魔方天空，百恩百等,2012,11,6,,种子轮/天使轮、Pre-A 轮、A 轮,200W - 4000W 人民币,8 个,消费互联网、旅游、本地生活、汽车、O2O,北京、上海、广州、深圳、成都
149,徐晨,戈壁投资 • 合伙人,曾投资：汉柏科技、品果科技、网秦科技、CSDN等。,2003,28,19,4,种子轮/天使轮、Pre-A 轮、A 轮,100W - 4000W 人民币,10 个,大数据、兴趣图谱、企业级应用/服务、分享经济、技术创新,北京、上海
150,杨绍东,复星昆仲资本 • 合伙人,曾投资:随手记，徙木金融，蜜娱乐，量化派，快乐购等。,2009,7,2,3,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,0W - 0W 人民币,未确定,医疗健康、金融、娱乐、消费互联网,北京、上海
151,朱子川,IDG资本 • 分析师,曾参与投资：爱玩、领建网络。,2014,,,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,300W - 12000W 人民币,8 个,消费互联网、本地生活、社交、O2O、电商平台,上海、杭州
152,郑义,岂凡创优基金 • 投资总监,曾投资：龙之谷。,2009,15,5,,种子轮/天使轮、Pre-A 轮,300W - 1500W 人民币,3 个,手游,上海、深圳
153,杨陶,光速安振中国基金 • 副总裁,曾投资：UnitedStack，宝尊电商，吉祥航空，多利农庄，哥仑布户外，摩威环科。,2009,11,7,3,种子轮/天使轮、A 轮、B 轮,200W - 10000W 人民币,6 个,消费互联网、O2O、电商平台,北京、上海、深圳、杭州、成都
154,余璐,零一创投 • 助理副总裁,曾投资：蜂蜜笔记，毛遂网，帅吧，小满科技，Mode。曾参与投资：童年智造，微盟。,2012,17,11,,种子轮/天使轮、A 轮,200W - 2000W 人民币,8 个,金融、消费互联网、B2B、撮合交易平台、SaaS,北京、上海
155,杨光,世铭投资 • 投资副总监,关注TMT领域的早期投资,2010,15,9,3,Pre-A 轮、A 轮,500W - 1000W 人民币,5 个,新媒体、二次元、消费互联网、企业级应用/服务、电商平台,北京、上海
156,李祝捷,真顺基金 • 创始合伙人,曾投资：找钢网，找塑料网，微农科技，宜花鲜花，淘当铺，优曼家纺，贝乐学科英语等。,2011,25,16,,种子轮/天使轮、Pre-A 轮,100W - 1000W 人民币,10 个,医疗健康、消费互联网、农业、机器人、B2B,北京、上海、广州、深圳、杭州
157,陈宇挺,引力创投 • 投资经理,曾投资：易直播,2015,2,2,,种子轮/天使轮、Pre-A 轮、A 轮,300W - 800W 人民币,5 个,VR、旅游、人工智能、婚恋、社交,北京、上海、深圳
158,苏东,IDG资本 • 投资经理,曾创办：途客圈；曾投资：途鸽、Usens、700bike、TVR。,2014,4,1,,种子轮/天使轮、Pre-A 轮、A 轮,500W - 2000W 人民币,3 个,VR、智能硬件、机器人、人工智能、SaaS,北京、上海、广州、深圳
159,原博,云天使基金 • 副总裁,曾投资：MIKE CRM、Worktile、平行世界、黑白校园、杏树林。专注一趣,2012,19,11,,种子轮/天使轮,100W - 500W 人民币,7 个,分享经济、技术创新、SaaS、人工智能、商业智能/BI,北京、上海、广州、深圳、杭州、成都
160,杜健,深圳市创新投资集团有限公司 • 投资副总监,曾投资：爱迪尔珠宝，欧菲光等。,2009,10,4,3,种子轮/天使轮、Pre-A 轮、A 轮,500W - 3000W 人民币,5 个,旅游、B2B、SaaS,深圳
161,汪恭彬,长石资本 • 创始合伙人,曾投资：多奇网、ninebot、指尖快递、易淘食等。,2010,40,35,2,种子轮/天使轮、Pre-A 轮,100W - 1000W 人民币,10 个,O2O、互联网金融、移动医疗、企业级应用/服务,北京
162,王燕婷,CA创投 • 投资经理,曾投资：悄悄,2014,1,,,种子轮/天使轮、Pre-A 轮,100W - 500W 人民币,5 个,二次元、VR、社区、视频、O2O,北京
163,姚永焕,盈动投资 • 高级投资经理,曾投资：拎包客。,2014,1,1,,种子轮/天使轮、Pre-A 轮、A 轮,50W - 1000W 人民币,5 个,二次元、智能硬件、旅游、人工智能、O2O,北京、上海、深圳、杭州
164,吴树,乐视 • 投资总监,曾投资：谊动。战略投资两家O2O公司、 两家智能硬件公司，一家大数据公司。,2014,7,,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮、D 轮、D 轮以上,100W - 30W 人民币,未确定,金融、智能硬件、云服务、内容聚合,北京
165,刘岚,红点投资 • 高级投资经理,曾投资：点送科技、梦之城、孔明科技、百年建筑网、小知、中粮移动健康、Perf365等公司,2013,7,7,,Pre-A 轮、A 轮,600W - 6000W 人民币,3 个,B2B、O2O、电商平台、分享经济、技术创新,北京、上海
166,戴帅,纪源资本 • 投资经理,曾投资：东方梦工厂、天津深之蓝。,2011,5,5,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮、C 轮,1000W - 10000W 人民币,4 个,智能硬件、大数据、机器人、人工智能、SaaS,上海
167,赵勇,零一创投 • 管理合伙人,曾投资：神州租车，北京中文在线等,2007,20,10,5,种子轮/天使轮、A 轮,100W - 5000W 人民币,20 个,消费互联网、企业级应用/服务、B2B,北京、上海
168,吕月梅,源码资本 • 投资经理,曾投资：一亩田，找煤网，壹财富，房产销冠等。,2014,18,6,,种子轮/天使轮、Pre-A 轮、A 轮、B 轮,300W - 3000W 人民币,10 个,地产、农业、B2B、O2O、分享经济,北京、上海、深圳、杭州
169,钱奕,华映资本 • 执行董事,曾投资：PP助手，51信用卡，500万彩票网。,2011,15,12,3,A 轮,600W - 6000W 人民币,5 个,消费互联网、互联网金融、O2O,北京、上海
170,卯升晔,原子创投 • 投资经理,曾投资:爱燃烧、念、宅基地,2014,3,,,种子轮/天使轮、Pre-A 轮,50W - 500W 人民币,10 个,医疗健康、新内容生态、二次元、汽车、O2O,北京、上海、广州、深圳、杭州
171,李剑云,浙商创投 • 执行董事,曾投资：四维数码，博曼迪。,2006,5,3,3,种子轮/天使轮、Pre-A 轮,100W - 3000W 人民币,6 个,医疗健康、物联网、汽车、信息服务,北京、上海、深圳、杭州
172,王静,动域资本 • 副总裁,新基金动域资本，求创业者轻虐。,2010,5,5,1,Pre-A 轮、A 轮、B 轮、D 轮、D 轮以上,100W - 5000W 人民币,未确定,O2O、社区、社交、体育,上海
173,范殷良,动域资本 • 副总裁,前虎扑体育产业基金，专注体育领域投资。,2015,,,,Pre-A 轮、A 轮、B 轮,100W - 5000W 人民币,未确定,体育、智能硬件、VR、云服务、消费电子,北京
174,车鉴,普维投资  • 副总裁,曾投资：图搜天下，酒仙网，睿悦信息。,2011,5,5,,Pre-A 轮、A 轮、B 轮,500W - 10000W 人民币,8 个,O2O、企业级应用/服务、金融、电商平台,北京、上海、深圳
