answer,question,id,investor_id
1、多年职场创业者，重点会关注过往背景和经验，且创始团队能力互补。2、年轻的创业者，比较关注创造力，偏好技术能力强，有市场意识的团队。 ,你青睐什么样的创业者？,1,1
我个人重点关注B2B、车联网或汽车后市场、互联网医疗等领域项目；更倾向首选赛道，再看选手的投资逻辑，偏好自上而下的行业研究，确定有未来发展潜力和成长性的细分行业，分析细分行业竞争格局，有的放矢精选投资标的，快速出击锁定项目。,你的投资方法论？,2,1
一般从见团队到签Term sheet（投资条款清单/风险投资协议）的时间在2周左右。,你做一个决策的周期有多长？,3,1
个人非常重视和坚持项目投后增值服务的提供，前提是帮忙不添乱：1、个人多年IT从业和创业经历，可与创业者共同深度打磨和完善商业模式，整合行业资源。  2、启赋已布局产业生态圈资源间的合作学习与协同，启赋已投80个项目，均是产业生态圈布局式的投资逻辑，启赋企业家们的协同互动已常态化。3、创业者团队完善，人才引进。4、下一轮融资的规划与对接。,除了资金，你能为创业者提供的帮助还有哪些？,4,1
专注，线下执行力强,你喜欢什么样的团队，或者说你看团队的标准是什么？,5,2
两周,你一般做一个决策的周期有多长？,6,2
人才支持，曾推荐成功数名CTO,除了资金，您对创业者的其他帮助有哪些？这些帮助最后效果如何？,7,2
1，看重有良好初心的创业者。就是说你创业是出于兴趣，财务汇报还是满足一些潜在的巨大需求。2，青睐有决心的企业家。 ,你青睐什么样的创业者/团队？,8,3
看社交产品的角度有三个：内容、关系和玩法。比如建立关系的方式是否有效，关系能否持续或沉淀下来等等来评价一款产品。除了这三点，我更关心创业者是否足够独特，比如你是否很懂一个垂直领域，是否是你所要做方向的典型用户，是否关注到领域足够多的细节。如果你在一个领域里非常资深，甚至进化到了『妖人』，绝对是加分的。 ,你的投资方法论？,9,3
首先，帮助团队找到关键人，补充高手。再就是做公司市场方向的探照灯和思考的伙伴。第三，规划融资节奏。,除了资金，你对创业者的其他帮助还有哪些？,10,3
多数创业团队见完当场就会有判断，决策最长不超过一周。,你做一个决策的周期一般多长？,11,3
我觉得坚持是很重要的一点再就是有一定的格局，或者说有一定的视野。还有就是在行业里面要有积累。如果创业者是一个刚毕业的学生，或者一定要跨行创业的，其实还是比较难的。,你喜欢的创业者/创业团队一般具备哪些特点？,12,6
看人，人要对。我觉得未来有潜力的企业家，或者好的创业者的苗子其实市面上并不多，其实那些VC或者早期的天使都在对这个资源进行争夺。,你的投资方法论是什么？,13,6
第一点就是续融资，一般我们都会协助团队去搞定。二是我们会帮他们构建一些团队，比如从BAT里会挖一些优秀的人补充团队。第三个是战略规划，比如从行业里面去请一些大的人物来帮助他们。,除了资金，你还擅长对创业者提供哪些额外的帮助？这些帮助最后成效如何？,14,6
像我们投得很多项目很快，只要是对的人在我们判断有机会的行业里创业，我们会非常快的投资。比如说我们当时投 i4，其实第一次和他们见面，第二次过去协议就签掉了，一周之内就打钱了。,一般你做一个投资决策时间大约多久？,15,6
一是创业者对他所在行业看的特别深入。二是最好要有创业经验。,你青睐什么样的创业者？,16,12
我认为做与汽车相关的服务的创业者的组合一定是要跨界的，团队要有人对传统线下的资源更熟悉才行。我之前接触过一些团队有一个感觉：在线下拥有较多资源能积累的人一般容易找到具备线上经验的合伙人，互相拟补对方不足。但一个纯线上出身的人去寻找线下的合伙人总是不那么力不从心，他可能也不知道去哪找。,你对被投资的团队的人员搭配上有什么要求？,17,12
目前市面上的一些车机硬件新品从体验来讲是不差于美国，甚至跑在美国当地创业者做出的产品前面的。不过这些新品中很多是在尝试去研发、应用一些汽车内的新技术，但我认为车联网硬件在这有一个瓶颈就是没有找到最佳人机互动的场景，说悲观一点核心技术在中国很难做。传统的OEM和ODM他们的新技术的来源还是从国外引进。创业者做这条路开始会吸引很多眼球，一些注意力。但你往下走的时候，你可能会迷茫。,你怎么看汽车内的“硬件创业”?,18,12
我在意创业者的素质，比如表达能力、逻辑性、战略思维是否清晰、资源整合能力强不强，然后有没有亲和力。,你喜欢什么样的创业者/你对创业者或团队的要求是什么？,19,14
能够与消费者对话的品牌才有生命力！,目前研究的行业中你的投资逻辑是什么？/你是如何决定在这个行业里哪些该投哪些不该投？,20,14
一是资本的运作，因为我曾在投资银行从业多年，对资本市场运行的路径非常熟悉。二是协助品牌的建立——这方面我有一些自己的理解。三是资源比较深厚。,除了资金，你能为创业者带来哪些额外帮助？这些帮助最后成效如何？,21,14
天使期的决策不会超过两次见面，A轮一个月，B大约2个月，具体视所投阶段而定。我会更多的时间思考商业的本质。然后我会第一时间告诉创业者我是否跟进。,一般你做一个投资决策时间大约多久？,22,14
在我们重点看的产业互联网领域，我们期待与有产业背景和资源，同时又有互联网运营、技术经验的人才组合合作。项目的牵头人背景既可以是理解了互联网玩法的传统行业人士，也可以深入学习了传统行业知识的互联网人，但我们希望他同时具备洞察力、执行力、感召力和学习力的。,你青睐什么样的创业者/创业团队,23,17
一个月，快的半个月。,你做一个决策的周期大约多长,24,17
我们看产业互联网时会重点关注那些市场容量相对比较大、信息化应用的程度较高、传统产业的发展遇到瓶颈、并且行业内开始对互联网接纳意愿强烈的细分市场，具体来说包括工业服务业、公共服务业、医疗健康、文化创意、消费生活服务业和农业服务业，它们的共性是以各个领域的服务业为依托，形成一套互联网+大数据+运营服务创新+金融的组合模式。,你有自己的投资方法论吗？,25,17
总体是流量驱动的思路，做流量的闭环，我希望看到互联网作为一种强信息流的改造工具来进入实体行业。具体讲，首先，互联网金融发展的空间在哪里？你看大多互联网金融服务目前还是大多为大型企业提供服务，缺失对小微企业的关注。谁能能够让原来那些没有被服务到的小微企业和个人接受比较先进的金融产品的帮助，那么无论是在理财、贷款、信用、保险这些方面都有非常大的机会。再一个，B2B或者说产业互联网也是这样，这一块的模式都是流量的聚合，很少有做入到闭环交易的，尤其现在中国大量的小微企业、中小企业发展起来，它需要非常畅通的采购链、供应链，比较好的价格，这个时候，互联网用它的交易成本无限降低和信息透明的这些优势能够帮助到这些企业快速发展，所以我们觉得这两块，互联网带来的效益和价值的提升非常的大，这是作为我们基金比较重要的投资方向。,你如何看待正在研究的互联网金融和B2B产业？,26,19
比如说互联网保险这个行业，我们最早投资了大特保互联网保险，它是一种非常新颖的，场景化的针对消费者的直销渠道。他到保险公司这边，根据某一场景，精算初次的产品，通过互联网这种低廉的交易手段和分发手段，微信啊，分发到小微的机构和个人这边去。这件事情，我们原来认为只是比较有意思的切入点，但是真正做了以后，才发现里面是无限大的空间。因为中国人的人均GDP到了目前这样一个往七千美金，往一万美金去发展的过程当中，其实保险需求是在高速的产生，尤其是对个人的保险，传统的保险公司由于它产品的反应速度比较慢，销售渠道成本比较高，或者是大企业的习惯也比较僵化，所以很难很快速的推出这些产品。像这条线上面，我们就发现做了这个产品以后，有很多很多的客户需求会产生，比如说我们推出的乳腺癌的防癌险一上线就卖了十万份，突然之间，柴静的报道说雾霾会导致肺炎，突然之间肺癌的这个险就热卖，可能在四十八小时之内，如果你能推出这个产品，可能就会是一个百万级的销售，百万份的保险销售。常规的话，保险公司策划一个肺癌险，到保监会去审批，出产品，可能要半年时间，出来以后，可能天气也变好了，或者大气也治理好了，机会也不在了，所以要很快速的响应。所以这个领域，我们觉得机会还是非常多，原来可能只是觉得一个点、两个点的机会，现在我们可能觉得是二十个点、三十个点，甚至更多的一个机会。,你投过什么在当时别人不容易理解的项目？或者说看某个领域明显早于其他投资人？why?,27,19
我觉得原来互联网的投资理念是产品为王，要找好的产品经理来做，产品为王的思路仍旧是对的，但是可能还需要做一个调整，就是说商品经理也非常重要，就是在这个团队里面，不仅需要有人非常懂这个产品，也需要有人对传统行业，对商品的供应链，对商品的特性和商品价格的谈判有非常强的经验，也就是说利用商品经理五年、十年在传统行业的议价能力和获取货源的能力，把它通过互联网无限的放大化，让原来的小微必没有方法请得起高端的商品经理的人，通过互联网把商品经理的大脑无限放大。所以一个新的团队应该是互联网产品经理加上传统行业的商品经理这样的组合那么至于谁做CEO，谁做CTO，这个具体看，但是需要这两种能力的组合。,你愿意和怎样的创业者/创业团队合作？,28,19
学习能力强很重要，我觉得每天看知乎的人应该都挺不错的。游戏领域的话我现在一般不投纯CP了。投的话我需要创业者至少对整个产业链的运行有基础的认识和规划。,你选创业者的话有什么标准？,29,21
产业链的整合。做投资之前我就是游戏行业的，从CP、渠道、运营、发行等等环节都摸过很多遍，每个环节有哪些坑，需要去Pitch什么人我比较清楚。,除了资金你对创业者的帮助还有哪些？,30,21
熟人介绍的比较多。我喜欢一对一的谈，不怎么参加活动。,你一般怎么接触到创业者？,31,21
之前是做投后管理，一年接触了50余个项目，有3家以上公司通过投后服务成为领域内知名项目。快速了解和熟悉项目的能力，迅速找到项目启动和发展的关键节点、问题，并如何解决 。  ,你在成为一名投资人之前做的是什么工作？那些经历对你做投资有怎样的影响？,32,22
关注新消费、女性消费、生活方式等与美好生活相关的创业项目，核心观点：电商的走向是媒体化、社会化。,你最近在关注什么创业领域？简单分享下你的观点？,33,22
忙碌中有思考，寻找未来新兴机会。,描述下你的工作状态？,34,22
像朋友和创业伙伴一样基于过往经验，可以在市场、PR、品牌以及行业资源整合上帮助创业者和项目快速成长。,你如何与创业者相处？哪些事是你个人投后增值的部分？,35,22
战略清晰、事情想的透，且执行凶猛的创业者。,你最欣赏什么样的创业者？,36,22
年龄上算，其实我投70后比较多，然后没怎么投过90后。可能说我更懂70后的想法，我目前看的行业想冲出来需要很多经验的积累。,你怎么看90后创业？你一般投资的创业者有什么特点,37,23
不仅仅是我投过的CEO，我觉得优秀的、有发展的创业者必须是性格乐观、做事成熟、学习能力很强，人也很Open的。,你投过的CEO有什么共性吗？,38,23
曾进行深入的创业研究，接触过大量创业案例，并与多家业内企业及投资者建立良好关系。充分了解创业艰难，能够用理解和欣赏的眼光看待每个创业者，并愿意帮助创业者实现梦想。曾在大型企业担任项目投发工作，善于协调。,你在成为一名投资人之前做的是什么工作？那些经历对你做投资有怎样的影响？,39,24
近期重点关注企业服务及云计算相关领域， 发掘真正能抓住用户的产品；同时关注智能硬件及各种颠覆性创新产品，希望助力中国制造向中国“智”造的转型升级。,你最近在关注什么创业领域？分享下你的观点？,40,24
勤奋，热情，常自省，乐助人,描述下你的工作状态？,41,24
深入的行业见解，坚定的创业信念，从善而不失自我,你最欣赏什么样的创业者？,42,24
人比较踏实、不浮夸的，然后对行业非常了解的。我不是特别在意核心有团队几人组成，就重点看创始人有没有白手起家的精神。,你青睐什么样的创业者？,43,27
基本流程是先看商业模式，然后看企业所在行业市场空间有多大，再看目前的行业的未来，以及整个行业的竞争情况怎么样。我期待的项目未来至少是百亿元以上规模，撑起一个上市公司。,你投资方法论是什么？,44,27
一个半月左右。,你一般做一个决策的周期有多长？,45,27
就说语镜吧。当时投的时候语镜所处的行业还不被看好，但我后来投了看中的是：团队对行业理解到位，商业模式说的通，团队整体比较开放。就项目本身来说，语镜所拥有的数据是很多企业所需要的，这个需求一直没有被满足。那么这些需求就意味着有盈利的空间。,你投过什么在当时别人不容易理解的项目？或者说看某个领域明显早于其他投资人？why?,46,27
相对比较有逻辑的， 不会投资非公司股东、占大股的。,你青睐什么样的创业者？,47,28
最近看的游戏社交比较多，然后游戏基本只会用RMB做第一轮投资，这是中国手游市场的后期退出环境决定。,你有哪些投资偏好？,48,28
电竞。因为我原来是玩这个的，所以在很早的时候就在关注。,你投过什么在当时别人不容易理解的项目？或者说看某个领域明显早于其他投资人？why?,49,28
之前有一个比较有个性的想法，我可能是80%的金钱铺在之前很理性的分析的角度上，剩下20%我感兴趣的方向去赌。因为我们社会的发展，呈现出非常多元化的状态，只要你做的东西是有趣的，我们都可以谈一谈。很多人说郑兰是投游戏的，但我不觉得博派是游戏的基金，我还是投内容生态，比如电影，动画等。它以娱乐为中心向外扩散的。回顾之前20年，我们看娱乐的载体，受众在变化，但是对娱乐的需求没有变化。我们没有一个具体的方法论，但是我们做的事情可能随着这个行业的变化而发展。,你投资的方法论是什么？,50,29
投和没投我的付出的关心都是差不多的，我们每天都会看一些新的团队，有时候没办法投，但是我觉得这个事或者这个人不错，我会在一个朋友的角度去帮助他。如果我觉得这个团队不适合创业，我就会比较直接的去劝告。,你怎么和创业者相处？,51,29
中国是个很好的市场，把手游的路径变得非常短，容易给投资人去总结。过去看端游和页游来讲，达不到国际水平，手游因为成本和门槛比较低，很多聪明的人加入手游这个行业，一个行业聪明人多了，是正向积极的事情，产品越来越好。当刀塔传奇出来的时候，让大家看到创新带来的价值，一个优秀的CP团队是有可能成长为一个大体量的公司的，业务模式向外扩展，成为一个综合性的娱乐公司。,你怎么看待手游现在这个节点的状态？,52,29
我们创立这个基金的初衷，是因为感觉到基金这个行业在发生变化。你看基金过去只能从国外募钱，但LP对国内的经济又不是非常了解，所以他们很难接受这种长期的投资方式。创立这个基金的初衷是想通过一个新的基金，让这些人走得更近一些，把互联网的资源利用的更好一些。目前我们基金保持十几人的投资团队，有2亿美金跟3亿人民币的资金量。这次募资做的多一些是因为基金太小的化很多投资不能参与，就不能呆在主流的投资圈了，就错失很多信息。,为什么创立高榕资本？新基金有什么特点？,53,31
这个两层面看，好的团队有很多基本素质：比如良好的学习能力，坚持做事的决心，思维活跃，另外一个是和投资人之间要有一定的默契。,你喜欢什么样的创业者/创业团队？,54,31
很多人说90后缺经验，做事不靠谱，但有些90后已经有工作经验了，他们大部分人的确还没形成自己的方法论，但重要的是有自己做事的原则和方法。,你怎么看待90后创业？,55,31
我希望是在正确的方向上找到好的创业者。第一是你要知道正确的方向在哪里，第二是要见或聊过很多创业者。我觉得投资的第一要素是勤奋，成功的投资人一般都是非常勤奋的。,你做投资的方法论是什么?,56,31
1，能够单点突破，并逐步延伸到产业链的；2，能够提高传统行业效率的新模式我也在看，比如说共享经济。,你在研究的领域中会青睐什么样的案子，什么样的案子你是肯定不会投的？,57,36
1，我们基金有孵化器，对于投资早期的项目，可以提供免费的办公场地，以及一系列的增值服务（产品、技术、运营、续融资的指导）。2，我个人做了很久的投资，帮团队做战略规划的经验比较多，这方面我也算比较擅长。3，比较明白创业与资本市场对接这里面的法则和流程，在创业者对接资本市场的节奏上，可以给创业团队一些我们的建议。,除了资金，你对创业者额外的帮助有哪些？,58,36
决策比较快，条款也简单，我们从内心里非常敬重创业团队，愿意跟他们并肩作战。,一般你做一个决策的时间有多长？,59,36
除了激情、经验、带队伍的能力这些经常提起的要求，我最看重的是创业者的“洞见”。一位创业者或者一只团队对创业的领域（或者曾经奋战过的领域）可以深入价值链层层解剖，几句话就点破领域的要点，或者能八刀刻蝉用几句话就概括行业的变迁，亦或是对产业链和左近领域做了足够多的观察，提出洞见。我将非常喜欢。我不喜欢啰嗦的罗列、夸大拥有的资源、表述的行业洞见似是而非的人或者团队。一句话概括的话，优秀的创业者要能透过现象看到行业本质，构建独特产品和模式，一击毙命，才能形成成功的砝码。,你喜欢什么样的创业者/你对创业者或团队的要求是什么？,60,37
价值点的创造不够独特，很难从已有的行业竞争格局中迅速撬动用户，那我不会出手。事实上此类型的项目占我看过的案子中的大多数。,目前研究的行业中你的投资逻辑是什么？/你是如何决定在这个行业里哪些该投哪些不该投？,61,37
参与战略制定＋帮助寻找实施战略的关键人才。我喜欢和我投资的团队一起深入业务，一起谈客户、看数据、讨论产品。当我个人对业务的了解足够详尽，再依靠投资人职业带来的更广视角，可以成为战略制定的良好参与者（而绝不是决定者），帮助团队补充信息、商议决策是事半功倍的。 ,除了资金，你能为创业者带来哪些额外帮助？这些帮助最后成效如何？,62,37
对于大多数的项目，一次深入的谈话，就可以有一个结论。,一般你做一个投资决策时间大约多久？,63,37
我比较喜欢思考几年后的用户会特别需要什么。比如2011年投资的一批”物理世界的数字化“公司，从face＋＋这样的人脸识别到思必驰这样的自然语言理解，在当时或被认为过于学术、离商业有距离。但你仔细看这些团队，他们的发展路径绝不同于以往的学术路线——那种充斥着老教授和产业公司都看不上的年轻人在研究室里闭门造车。他们在发展的过程中伴随着海量数据的出现，创造出了新的跑道。再比如说这两年的SaaS， 去年以来的从线下连锁反向切入O2O的有壹手快修等模式，都是当时业内不够看好的。今天来看，他们成功不是一朝一夕的，不被看好只是因为还需要更多时间的来孵化和雕琢。,你投过什么在当时别人不容易理解的项目？或者说看某个领域明显早于其他投资人？why?,64,37
就说看案子几个纬度吧。第一如果我们觉得这个事情能够成功，且对我们团队价值观的帮助是正向的，比如像电动汽车领域的投资。电动汽车本身节能环保，尤其是环保这一点对电动车行业的意义特别大，特别是在目前国内雾霾频发的情况下；此外，电动车也非常经济，单位行驶里程单价较低。因此不管从社会意义，还是经济意义上，投资电动汽车都是非常有价值的。这种项目我觉得就是好再就是和其他人差不多的，案子爆发性好，能够给我们带来比较好的经济效益的项目。,你在关注的投资领域里有自己的方法论吗？,65,38
1，有奇思妙想，富有执行力，生活经历丰富的人。2，不喜欢只有一个人的创业团队，我比较侧重看团队的互补能力。,你青睐什么样的创业者？,66,40
包括战略规划、引入下一轮等一系列杂事都跟着一起做。,除了资金，你能为创业者带来哪些帮助？,67,40
1个星期左右。,你做一个决策的周期大约多长？,68,40
首先看方向是不是靠谱的。再就是看发起人的知识和能力是不是足以推动在冷门领域里获得重大成就。很多人会说企业发展的未来能有多大的市场，但你看现在千亿元的公司就那么几个，  百亿元也就几十个，未来可能更多的机会是在几十亿元的公司这里。所以我觉得在天使阶段就不要考虑这么多，重点想在这个领域里你能解决什么问题，能给目标用户带来多大的帮助。,谈谈你的投资方法论,69,40
团队的话主要还是看CEO，一个词形容的话就是靠谱。,你喜欢什么样的团队，或者说你看团队的标准是什么？,70,41
最快当场可以做决定。如果了解的行业的话，可能最多就是再花一点时间了解团队和已有的业务状态，最快当场可以做决定。,你一般做一个决策的周期有多长？,71,41
除了资金，可能还有就是在相关领域的研究和看法，因为我是习惯于先研究一个行业，至少自己相对要对这个行业的宏观面和很多东西都了解之后再做投资决策的。另外就是已投的兄弟公司或者人脉资源的帮助上，还有就是续融资。,除了资金，您对创业者的其他帮助有哪些？这些帮助最后效果如何？,72,41
一言以蔽之就是生产关系要尽量保证生产效率的最大化。不过我最终决定投的关键还是在创始人或者团队。,目前研究的行业中你的投资逻辑是什么？/你是如何决定在这个行业里哪些该投哪些不该投？,73,41
团队要团结，各个角色配备相对齐全，每个人都有自己的优势特长，组在一起成为一个强大的团队。同时 CEO 作为话事人，他是重中之重，我希望他既能兼听又能决断，既能掌握全局又能关注细节，基本功扎实同时学习能力强。创业是艰苦的旅程：理想主义是要有的，这是能坚持能吃苦的动力；实用主义又在以结果为导向的实践中发挥了作用。,你喜欢什么样的团队，或者说你看团队的标准是什么？,74,42
在投后服务这块，我会把我的投资组合创始团队拉进微信群，一个项目一个群，交流项目进展，分享行业动态。同时我把我投的公司创始人放到一个微信群中，让大家在线上交流、线下聚会。我会在很多方面给予公司帮助：公司治理、战略梳理、公共关系、员工招聘、商务合作和后续融资。但我不会越俎代庖，一切以创始团队为主。这些琐碎的帮助占据了我不少的时间与精力，但我乐此不疲，因为实践下来在创业团队那边的效果还不错。忘了说，我的投资组合创始团队每年都会收到我亲自登门亲手派送的利是，这也是蛮受欢迎的 :-),除了资金，您对创业者的其他帮助有哪些？这些帮助最后效果如何？,75,42
两周。,你一般做一个决策的周期有多长（从看团队到签term sheet）？,76,42
有目标、能带团队、有产品观。,你青睐投什么样的创业者/创业团队,77,44
熟悉的领域1天，不熟悉的不确定。,你做一个决策的周期大约有多长,78,44
流量+转化率。流量发生系统性转变的时候，就有可能有系统性机会。,简单说一下你的投资方法论？,79,44
1，创业者选择的创业方向或者领域是有很高天花板的2、有尖锐巧妙的切入点3、与这个事情相匹配的创始人和团队。,你青睐什么样的创业者？,80,48
大部分案子10天内。,你一般做一个决策的周期有多长？,81,48
我会考虑一个案子所处的领域是不是一条刚刚形成的赛道，是不是对大部分人来说还是一个“秘密”，然后接触这条赛道的种子选手，下注最适合的那一个。,目前研究的行业中你的投资逻辑是什么？/你是如何决定在这个行业里哪些该投哪些不该投？,82,48
好奇心比较强，学习能力强，领袖气质。这里面的领袖气质我解释一下，是说创业团队的配置是不断升级的，你看京东就升级了4次。一个团队在我投的时候我希望他那一刻就能搭配完整，但其实大多都不完整。那我不太看中这种静态的搭配，更关心创始团队有没有可能未来吸入和引入优秀的人让团队逐渐升级、完整。,你喜欢什么样的创业者/创业团队？,83,52
我比较喜欢投已经有0-1的成功经验，在1-100的路上继续试验的团队。举例来说，猎豹在海外做的很成功，Apus就是在不同的领域但很相似的方法做了一个也成功的产品。 再比如说去哪儿上市了，庄辰超后来间接做了融360，等于一套基础的方法论在不同领域里试验，最后也奏效了。就是说平行领域已经有先行者了，你如果能用这套方法论或者商业模式在一个新的领域里实践，那我觉得成功的机会更大,你投资的方法论是什么？,84,52
快的一周，慢的有半年也有，期限跨度也有更长的。这里面受到影响的因素太多。不过我会与创业团队一周或者一段时间做一个沟通，讲一下内部进展的情况，如果继续推进卡在哪里了——比如我还需要长时间决策，也让创业者另外寻找投资人等等。反正我是投就投了，不投也会说明原因的。,你做一个决策的时间大约多久？,85,52
"我喜欢会“玩”的创业者。解释起来有两点1，你要对一个领域的研究足够深或者拥有大量的经验，然后这里面的问题我们探讨起来是考不住你的，不能一共就问三个问题，有两个问题答不上来。2，在研究非常深的基础上已经可以开一些""tricky""的小玩笑。",你青睐什么样的创业者？,86,58
1，我喜欢有领导人气场和格局好的创业者。2，人生一直在折腾，不断探索和尝试新东西的人。3，我偏向投创始团队成员有2-3个的团队。创始人之间的性格是比较互补的，但有一个人说了算。,你青睐什么样的创业者？,87,61
快的话2个小时，比如足记。一般是几天到一周。,你做决策的周期一般多久？,88,61
就说足记。投足记核心是投他们创始人这个人，我们聊天中能感觉到她有一股单纯的力量，当时我们谈的金额也不大，是值得赌一把的。 ,你投过什么在当时别人不容易理解的项目？或者说看某个领域明显早于其他投资人？why?,89,61
概括来讲：聪明勤奋、心态开放，重视合伙人和团队，还有毅力要强。,你青睐什么样的创业者？,90,63
品牌背书，招聘、营销、融资等系统性服务。,除了资金你还能为创业者提供什么样的帮助？,91,63
一到两周。,你做一个决策的周期有多长,92,63
